Applicant SSN,Credit Score,Number of Credit Accounts,Number of Derogatory Marks
,758,9,3
530-79-3310,511,9,1
,688,7,2
658-62-0083,674,0,0
820-35-5850,477,5,1
534-38-1479,755,3,1
293-28-5178,761,15,4
830-63-3585,850,8,1
499-66-3593,850,8,1
131-79-8671,850,5,1
369-99-9598,680,8,1
012-79-7135,728,1,0
349-91-5280,300,4,1
379-52-1532,748,14,3
292-35-3574,344,10,0
783-65-6241,850,12,1
489-85-9375,617,2,0
201-07-8370,845,9,1
653-96-1125,792,11,0
750-86-8947,721,2,0
284-78-1555,734,13,0
279-29-9984,435,6,0
657-71-9805,752,15,3
262-95-0512,475,7,0
519-44-2477,381,8,2
794-77-5935,818,14,4
802-29-9638,549,15,0
424-89-9118,687,11,1
107-51-9186,465,14,3
787-71-9280,699,1,0
770-43-1677,641,3,1
499-86-3614,604,5,0
422-33-7428,435,10,3
085-78-1914,584,14,1
562-26-3655,641,11,1
054-61-8838,539,15,5
266-52-6007,582,2,0
377-98-5879,513,10,1
643-48-4270,719,12,0
773-70-9439,712,6,1
515-03-2523,479,8,0
356-61-1201,783,5,0
314-07-9584,659,6,0
333-40-6631,769,6,1
695-73-4225,673,12,0
014-56-2249,645,13,3
815-52-2614,611,11,0
499-78-7199,850,0,0
016-46-0119,850,9,1
111-40-8553,850,13,0
539-73-7165,850,12,4
667-35-5443,697,4,1
142-14-8960,609,5,1
,766,7,0
633-68-8579,317,7,0
648-92-6628,731,4,0
705-02-9250,662,6,2
181-85-8149,497,11,1
449-06-2116,524,7,2
004-60-8108,763,1,0
182-79-5944,415,2,0
740-73-9250,850,5,0
211-33-9909,799,5,0
040-37-9997,598,3,0
456-30-0103,754,14,4
235-11-4441,583,9,1
659-63-5886,763,10,0
811-65-5774,806,3,0
474-60-2589,300,14,3
131-14-5628,618,12,1
253-18-5940,517,4,0
310-23-2311,656,2,0
,754,10,3
500-10-3421,692,15,5
219-89-2938,710,13,1
388-65-8254,595,10,2
215-71-8306,647,1,0
889-27-8453,850,12,2
869-15-3635,762,10,0
,740,3,1
751-20-2601,732,10,3
204-26-0177,401,14,3
078-02-8103,627,4,0
723-41-2024,629,13,3
402-57-7085,546,8,0
178-81-3777,471,8,0
249-72-5238,850,11,2
601-33-1871,300,5,1
107-94-2598,556,8,0
892-68-8568,722,9,3
092-44-0879,659,12,4
366-87-7079,613,10,3
690-08-8029,846,2,0
030-58-0456,630,4,0
840-09-0807,515,3,1
766-17-8662,725,6,1
724-31-1324,750,13,4
044-78-7339,683,2,0
592-04-7442,850,7,1
293-76-3238,669,10,3
578-90-6153,797,12,2
407-10-6231,840,15,4
051-24-4863,850,6,2
249-44-0643,769,8,1
117-56-2781,626,12,3
866-42-7253,507,7,1
385-51-0741,804,15,4
755-46-6904,821,10,1
,850,1,0
335-53-3142,689,14,1
301-03-0634,554,3,0
188-31-2163,642,13,1
434-04-4332,564,0,0
672-45-9872,488,5,0
619-85-0058,431,2,0
614-70-5416,705,5,0
781-88-9349,839,14,0
118-70-8093,830,9,0
872-68-0725,459,9,2
013-03-1850,665,3,0
393-22-7599,518,0,0
371-27-7320,838,14,3
684-59-2608,583,12,1
084-23-1662,823,11,0
552-78-1830,602,1,0
517-40-0023,756,15,5
467-99-5978,718,12,1
044-19-8783,850,14,3
478-30-5432,766,11,3
177-03-9239,558,15,3
569-68-4394,593,4,1
312-61-5451,702,9,1
697-54-6107,564,8,0
,708,13,4
435-55-8825,758,6,2
443-55-4895,850,8,2
733-14-1008,850,2,0
599-63-1434,850,6,2
382-92-9205,682,11,1
029-39-1351,850,3,1
044-51-0971,823,13,1
221-19-4079,687,11,3
532-58-1002,809,5,1
624-86-7490,685,6,1
034-14-4865,468,0,0
255-89-1438,809,5,0
115-22-8060,677,4,0
850-47-0089,830,15,0
837-53-3779,627,7,1
426-01-3994,599,10,2
,513,2,0
423-08-3726,850,2,0
891-86-0897,467,1,0
883-21-7179,645,14,3
076-54-2943,705,11,3
866-91-8871,771,5,1
237-35-6050,818,6,2
370-87-1243,711,11,3
092-17-2459,634,3,1
004-05-8461,487,7,0
714-57-0711,810,6,2
432-79-8805,850,12,3
456-69-1797,586,9,2
147-53-8215,623,2,0
366-80-4604,820,10,3
818-09-4897,697,1,0
193-35-2113,667,4,0
403-09-5338,637,5,0
284-98-9976,603,15,0
538-95-4494,826,10,2
073-34-7819,504,12,2
165-43-0155,763,13,2
874-06-6551,565,7,0
366-27-2743,716,15,3
529-89-1053,508,3,0
680-13-3873,755,8,1
592-45-7363,597,6,1
049-67-2036,850,3,1
120-53-5137,850,2,0
844-83-6741,496,9,3
884-60-4927,457,2,0
012-94-7848,850,8,0
443-84-6239,659,13,1
039-62-0694,635,12,3
185-03-9500,697,15,4
,604,0,0
060-05-8600,613,7,1
780-34-3683,836,7,2
097-39-9314,534,14,3
838-71-3823,722,15,2
892-08-0213,489,1,0
167-82-4474,648,11,3
119-76-2230,725,12,4
632-33-9701,847,10,3
457-14-1907,698,8,2
558-62-0358,850,14,1
434-17-8423,600,12,1
263-54-4286,446,0,0
156-46-1936,575,6,1
247-20-4219,561,5,1
319-19-8630,654,9,0
136-95-4836,788,4,1
820-83-5464,676,12,2
846-52-4890,703,12,4
617-20-9068,840,13,2
304-43-5603,785,10,2
887-66-7073,814,6,1
596-92-3835,743,11,0
023-67-8042,620,0,0
729-25-6487,626,5,0
484-16-4262,432,15,0
695-36-4138,601,8,0
376-80-9801,567,0,0
430-12-9458,647,1,0
,710,4,1
139-38-9621,695,8,2
300-23-4730,601,4,1
883-30-9406,850,4,1
565-98-4681,850,4,1
024-39-6372,850,8,2
120-91-5433,345,6,2
305-51-6772,652,11,3
756-57-5683,568,7,2
663-02-5994,632,9,2
441-47-3353,617,2,0
693-17-2841,645,6,1
443-25-5917,778,3,1
054-80-7960,552,10,3
587-69-2447,593,5,1
385-37-4930,618,11,3
780-47-1965,685,0,0
754-52-6109,653,0,0
076-18-2760,378,3,0
559-53-1876,815,9,1
886-61-4495,828,9,0
632-99-1208,424,3,0
575-92-8220,469,8,1
478-87-8459,623,6,0
331-22-7477,584,6,1
892-68-6443,456,0,0
889-90-5851,578,14,2
832-68-9532,447,4,1
093-78-9358,850,11,1
177-08-6760,600,3,0
797-88-6097,674,15,4
438-28-8323,498,1,0
816-96-7893,850,8,2
573-18-8488,519,10,1
412-55-1511,681,4,1
830-43-2843,575,12,3
003-36-7639,658,12,2
529-91-3827,850,6,0
845-78-8717,729,2,0
148-13-1107,637,2,0
765-89-4226,708,15,3
318-85-0036,403,15,0
854-93-0506,702,2,0
047-36-2438,850,4,0
146-04-3040,701,13,4
,752,14,0
002-88-9706,755,9,2
287-65-2767,731,10,1
109-31-6799,669,2,0
046-64-4220,724,13,3
677-62-6847,695,5,0
788-39-3488,566,3,0
683-82-1030,698,12,4
232-18-9288,616,3,1
688-68-1770,798,12,0
260-65-0813,824,15,4
858-53-7258,850,9,3
178-60-7113,426,15,1
739-75-6586,609,5,1
597-66-5613,675,7,1
763-88-5741,663,15,2
031-57-0723,687,8,0
,850,5,1
232-86-1933,593,14,4
168-08-1271,572,15,4
721-23-9557,539,5,1
726-96-9601,795,12,3
216-16-2987,572,1,0
643-37-3025,727,11,3
390-80-4111,850,7,1
474-51-7696,625,9,0
163-37-0671,511,0,0
891-05-7511,791,6,1
009-57-0909,728,0,0
812-23-5472,728,5,1
321-84-6771,736,8,0
123-30-6562,660,1,0
257-74-9482,705,1,0
745-47-1506,597,11,1
,850,8,0
380-70-2178,523,5,1
541-91-2743,850,1,0
757-71-9544,493,0,0
769-11-1444,531,11,1
011-73-8659,459,4,1
679-39-8347,723,6,0
849-28-3424,835,8,1
869-21-8832,658,14,1
234-53-4605,629,8,2
222-35-4172,300,6,2
842-99-9355,673,13,1
702-10-2361,850,1,0
086-51-2277,604,11,1
111-65-6340,585,11,0
506-03-4498,586,13,3
295-42-5434,837,0,0
431-70-8443,569,4,1
875-32-1798,499,11,1
157-72-2477,556,7,0
419-78-4077,595,9,0
768-95-9268,585,8,1
863-80-4879,681,10,0
280-41-2544,659,10,0
688-51-2270,635,14,3
139-97-2757,806,13,1
849-98-3831,813,2,0
334-76-8172,831,6,2
751-78-0189,677,1,0
467-01-6213,796,13,2
101-09-9843,782,13,1
322-16-3186,751,3,0
,679,7,1
790-70-6384,610,7,1
525-34-9056,850,3,0
588-76-3398,539,3,1
166-43-3589,687,8,2
789-22-9384,746,12,2
003-65-6641,561,4,0
227-27-6864,832,13,1
025-80-9425,722,4,1
448-48-6098,805,11,0
366-36-1221,788,5,1
800-66-4238,775,5,1
621-93-6560,498,8,0
160-97-0845,789,15,1
344-93-4663,675,9,3
636-72-7023,617,12,0
129-75-7210,845,5,0
064-33-0471,505,15,2
471-53-2563,745,8,0
338-72-6429,764,2,0
166-98-4285,805,8,1
246-26-0143,628,9,0
295-91-7888,560,11,3
426-82-3775,553,15,2
822-64-6029,827,5,1
702-93-0125,799,15,3
801-36-9475,747,0,0
850-40-2938,413,0,0
584-91-6798,672,15,0
786-67-1560,850,3,1
016-34-4417,566,5,1
504-11-1487,647,15,4
820-42-0320,650,13,2
290-05-2195,850,12,2
692-14-1337,788,11,2
,775,15,2
196-23-5529,378,13,3
791-78-0283,657,1,0
646-67-9206,691,8,2
,850,5,1
791-58-3366,638,14,0
473-61-6594,850,6,1
009-20-5206,778,11,0
027-94-8168,484,9,3
084-33-3252,756,5,1
610-01-1308,321,1,0
864-39-4768,749,9,0
516-46-1504,850,6,1
033-41-7679,618,0,0
149-91-2308,628,4,0
897-14-0621,710,13,3
181-34-2797,808,12,3
123-41-1346,600,12,4
440-82-6492,817,14,2
231-42-0044,628,0,0
284-20-0654,646,1,0
807-75-4912,758,14,0
768-91-6110,507,5,0
,646,14,4
454-78-0780,763,11,3
833-21-5675,691,13,1
341-10-9976,645,10,2
843-41-9763,618,1,0
671-36-9953,509,12,1
766-94-3119,346,4,1
,519,2,0
131-16-3616,578,11,2
599-10-3419,742,12,2
575-36-1904,743,12,3
588-29-4037,780,12,0
780-42-9200,528,8,1
635-05-9444,850,11,3
580-78-3707,662,0,0
464-32-3578,615,5,0
135-70-8709,781,9,2
823-99-3523,556,0,0
018-68-6193,718,3,0
320-44-9185,582,14,4
464-11-2082,850,11,2
253-42-3175,850,3,0
754-71-4638,850,0,0
207-04-2777,604,0,0
692-55-7822,850,15,2
047-70-4399,581,1,0
137-07-4483,555,7,1
215-80-1867,618,8,0
876-48-1856,612,1,0
292-56-3993,850,12,4
076-92-7160,850,13,2
201-69-2654,850,13,2
318-65-0929,850,13,3
211-83-5842,528,9,0
276-84-0359,779,15,3
097-06-9655,646,15,3
736-63-3709,394,2,0
339-87-0099,608,3,1
744-32-7929,850,14,4
575-17-3291,850,2,0
698-85-2733,564,14,0
494-29-2385,613,9,2
076-35-2128,507,10,1
646-95-5074,794,15,5
,666,9,0
697-91-0931,612,12,0
538-69-4502,669,14,3
138-99-1780,783,6,1
067-35-9349,850,1,0
106-68-5788,466,13,4
336-21-5626,697,10,2
264-41-3436,580,5,0
375-56-8681,732,11,2
884-05-6125,839,2,0
373-81-7375,626,13,3
263-06-3777,759,9,2
674-42-2555,782,10,2
690-88-1588,725,12,2
514-46-1117,712,8,0
549-53-2790,541,12,4
538-60-3122,651,15,4
569-31-2549,551,5,0
,422,4,0
024-72-2964,781,5,1
804-09-3484,796,7,0
399-60-8069,825,10,2
661-23-7989,635,6,1
431-48-7476,443,7,2
121-27-9200,695,0,0
164-35-1114,605,7,2
276-45-0779,471,4,0
242-29-8195,778,7,2
606-70-1818,785,1,0
030-46-1928,850,7,2
562-60-9619,761,1,0
464-90-2930,745,12,0
457-60-7703,404,11,1
625-09-0060,543,6,0
703-03-9200,836,14,0
870-36-4182,789,12,2
528-58-2072,850,3,1
489-96-8572,846,4,0
240-33-2023,584,1,0
600-04-4672,448,4,0
179-87-4419,518,11,2
116-07-7257,612,11,0
763-64-4736,515,4,1
731-37-0379,595,8,2
836-09-4455,724,5,1
178-78-3137,850,8,0
792-85-9258,586,11,2
764-77-2163,419,13,1
817-87-4494,513,2,0
405-34-9562,730,10,3
154-19-6554,518,15,0
542-19-3510,597,11,1
088-92-8074,582,2,0
781-44-2230,545,15,1
525-42-5266,850,13,2
356-32-6853,730,10,1
582-54-7372,850,11,2
758-83-2496,850,13,2
149-27-4146,393,6,2
199-59-2330,817,10,2
739-35-6452,543,7,1
624-62-6207,653,4,1
693-69-5405,722,11,1
136-55-6906,724,11,3
614-02-3109,605,4,1
388-45-0438,649,0,0
,839,14,2
441-04-7921,818,14,4
308-10-1984,850,13,2
262-35-0609,552,1,0
289-03-3487,499,2,0
773-03-2228,609,7,0
228-52-4107,732,8,0
702-33-0901,497,14,2
297-63-8253,646,13,2
021-35-3148,384,7,1
334-27-0874,731,11,0
873-76-5141,567,3,0
556-65-3398,850,11,2
432-77-7977,567,14,2
,745,9,2
616-08-1913,811,10,3
803-43-1524,625,14,2
376-33-8779,850,1,0
743-14-4054,465,6,1
072-06-1436,844,13,0
312-63-8671,521,5,0
307-37-3988,678,7,0
885-29-3325,693,1,0
519-32-2962,555,14,4
096-55-9734,850,15,5
889-32-3988,410,3,1
276-91-8355,606,6,2
824-10-8703,850,12,4
523-97-3505,716,12,0
763-08-3264,694,5,1
569-14-5523,645,2,0
,850,12,1
619-37-1261,546,3,1
547-31-4670,624,9,0
606-85-2140,685,14,4
655-41-7156,439,2,0
864-21-7564,768,4,1
321-29-2215,838,2,0
138-62-4777,814,9,1
691-92-6138,544,12,0
137-41-5467,850,6,2
,543,12,0
272-26-5068,650,0,0
306-40-1131,850,11,3
662-08-5335,635,1,0
073-93-3601,739,12,4
261-38-2064,842,10,1
410-65-0246,545,11,2
153-82-9592,631,6,2
573-38-4902,609,5,1
894-15-8056,531,8,1
023-58-5433,672,6,2
772-43-7961,641,10,3
165-98-0951,575,2,0
366-17-5372,603,4,1
746-21-3437,300,11,0
854-27-6133,710,3,1
401-95-4248,364,11,1
188-90-3636,595,9,1
177-05-3867,663,15,5
346-64-4387,686,6,0
177-14-2958,711,9,1
754-44-5601,790,5,1
619-64-8907,677,3,1
060-37-0915,768,8,0
197-62-0020,850,0,0
409-01-4084,797,11,3
716-44-9032,721,3,0
168-19-5530,773,4,1
393-94-3175,699,15,0
525-02-7069,503,1,0
756-66-8336,579,15,1
835-45-9100,850,2,0
047-37-8663,664,14,4
112-26-3876,630,5,1
684-99-7835,523,13,3
590-10-3713,827,5,1
796-83-1607,848,10,3
862-66-1475,728,2,0
075-06-8213,611,3,1
874-98-9451,809,7,0
,566,3,1
127-99-1832,639,12,4
761-93-6191,431,15,1
488-44-6503,850,10,0
024-85-0496,850,1,0
,850,15,5
891-05-9989,709,0,0
896-04-0252,697,3,1
047-76-1977,485,6,2
869-79-0148,497,0,0
068-22-5917,686,10,3
840-80-6090,471,9,0
346-58-4546,794,1,0
210-24-9295,539,11,3
563-65-7085,828,11,1
376-63-8826,580,14,3
,760,15,5
089-93-7244,850,14,4
404-26-2557,730,6,0
675-85-7069,785,5,1
037-59-7163,850,6,2
086-54-7465,455,1,0
747-39-5160,850,13,2
535-31-7794,761,3,1
756-72-2820,689,8,0
565-22-7884,578,11,1
578-28-7278,850,10,0
667-51-0968,847,0,0
863-84-6068,563,14,2
643-11-6778,559,10,0
191-95-5828,671,3,1
848-15-6599,666,4,0
,743,0,0
712-59-3882,690,4,1
782-12-3574,600,11,2
263-55-8499,850,12,2
558-90-6202,300,3,1
,693,8,1
290-14-2256,559,9,0
431-61-6308,820,7,0
844-37-7622,850,4,1
197-97-3227,779,14,2
027-49-1789,606,2,0
869-33-7317,518,3,0
449-70-4477,556,2,0
083-96-1282,605,12,0
741-73-7840,715,11,3
570-27-4308,659,5,0
432-11-2697,701,11,2
209-66-1951,603,1,0
785-50-8962,300,4,0
290-79-6012,850,13,3
654-34-4258,467,13,4
592-92-5377,775,14,1
849-91-2967,757,11,2
086-74-4297,648,11,3
370-61-2775,559,11,3
078-35-2541,627,5,1
187-61-0528,650,12,0
696-60-4413,850,10,1
224-92-1568,773,7,2
,850,10,2
781-27-3355,667,14,3
253-63-2130,850,6,1
120-56-3917,592,0,0
241-70-7386,695,11,0
617-84-6628,667,3,1
106-16-5725,720,1,0
727-55-2256,449,10,0
743-56-5139,640,12,0
787-84-7290,518,0,0
744-31-7965,762,1,0
316-48-5233,790,11,3
793-67-2272,814,8,2
853-18-0426,850,2,0
123-85-6947,698,11,3
347-07-1980,850,1,0
194-78-0486,788,5,0
861-71-1024,613,12,3
457-16-8588,590,2,0
198-81-9387,844,12,4
671-99-1544,601,5,1
006-82-1107,596,1,0
326-13-0954,670,1,0
091-26-0686,697,9,1
,850,15,0
315-29-9849,526,11,0
485-22-6647,534,10,2
832-05-3825,780,3,1
117-95-3370,818,1,0
790-38-1548,850,8,2
091-04-7252,570,13,2
535-16-1223,663,4,0
761-20-8841,850,0,0
458-69-5911,662,3,0
028-32-0469,839,13,1
448-88-5090,476,6,0
278-12-4438,850,9,3
498-76-7058,601,11,1
611-38-0094,677,13,0
,614,14,1
363-72-6254,672,3,1
504-91-3297,698,14,3
616-07-9661,508,14,1
363-55-3988,725,2,0
892-04-6183,686,9,1
175-12-3453,512,14,1
484-02-2971,644,12,4
157-45-1175,768,6,2
219-81-7085,690,8,1
580-50-4369,779,2,0
569-21-3295,793,0,0
249-10-9912,850,15,0
,850,15,1
662-68-6995,692,0,0
005-44-0965,716,12,1
763-73-6194,537,11,1
770-10-2416,843,2,0
019-21-5558,376,3,1
088-40-2434,745,11,3
722-36-9719,746,1,0
161-67-4778,639,9,3
067-33-8037,458,2,0
132-24-0840,645,15,1
,850,12,2
,777,8,0
370-41-2610,439,10,0
847-47-9018,702,15,1
665-40-5351,811,7,2
044-42-7046,613,6,2
463-47-2583,625,7,0
536-01-4805,651,12,4
211-53-0192,672,15,2
145-45-7856,810,6,1
440-24-0945,702,2,0
321-79-0747,643,0,0
,702,1,0
447-14-7474,779,3,0
628-01-7076,506,15,2
598-18-6875,714,8,0
446-24-0415,791,13,0
786-02-3827,713,14,2
260-99-4491,507,2,0
862-25-1512,816,14,0
856-93-5465,573,4,1
368-96-0733,738,12,2
188-87-7083,693,14,0
661-22-3345,457,7,1
893-51-5065,535,1,0
344-13-5725,510,6,2
008-21-7033,850,15,2
389-72-0848,554,6,1
837-30-7770,850,8,0
261-58-8775,755,2,0
513-15-8738,746,8,0
707-62-6091,538,3,1
588-15-6545,696,0,0
886-76-0381,595,2,0
,589,10,1
021-22-1293,850,13,2
462-14-1786,453,0,0
431-77-6860,850,12,1
684-55-8607,601,4,1
109-43-2737,850,8,1
513-34-2000,588,1,0
465-13-3809,591,5,1
816-52-0555,624,6,1
543-97-5540,633,5,0
420-08-1333,437,12,4
245-56-4205,731,5,0
199-55-0123,842,15,2
036-37-4033,550,13,4
291-55-8343,773,14,3
214-84-4745,850,0,0
342-19-9353,375,1,0
698-28-3710,576,5,0
146-23-8839,672,14,4
496-06-2613,831,3,0
411-47-7232,660,14,2
725-44-1820,850,2,0
176-36-8422,467,5,1
878-74-8739,759,7,1
235-04-6239,659,2,0
780-30-0598,618,8,1
484-81-1429,821,12,2
595-32-8894,770,6,1
761-80-8837,689,9,2
178-34-3030,809,4,0
403-59-8098,810,8,1
205-34-9257,715,5,1
364-77-4352,633,3,1
328-98-6148,621,14,2
747-03-8198,568,2,0
,534,3,0
192-23-1308,594,4,0
876-58-9019,850,2,0
266-01-2136,504,15,4
598-56-1337,419,2,0
268-31-2071,646,6,1
501-82-4346,585,1,0
166-95-3301,751,3,0
159-91-2467,693,0,0
721-37-4303,638,0,0
192-60-3502,684,10,1
383-47-2378,713,4,0
534-37-9937,637,13,0
537-88-8665,781,11,1
621-45-3026,625,0,0
041-56-2461,520,4,0
584-19-2082,838,15,5
595-92-6466,850,7,2
813-61-7677,651,6,1
089-20-8898,850,10,1
279-94-0869,674,6,1
875-69-2203,850,13,0
225-38-1354,569,9,1
266-50-3899,401,8,1
419-24-9055,791,14,2
028-64-4348,846,10,3
715-12-2102,850,14,4
388-83-2587,585,8,1
862-98-0648,768,4,0
115-24-2647,607,6,1
194-37-8028,759,15,4
586-37-3762,701,4,0
848-70-5609,608,14,1
629-97-7790,686,10,2
370-33-8427,654,14,2
734-12-1880,638,9,2
205-96-7862,415,7,2
006-37-0884,850,9,3
602-32-7518,531,9,2
581-62-7458,541,12,4
428-85-2757,850,7,2
773-32-9602,802,1,0
609-18-1161,850,7,2
085-44-4945,832,4,1
186-54-0266,850,3,1
678-51-5812,850,4,1
234-03-0156,649,4,1
041-10-0946,850,15,3
534-47-4760,850,7,2
251-05-6241,620,15,4
562-30-3363,743,15,4
688-91-7802,761,2,0
078-84-4671,483,11,3
325-30-6438,774,9,0
803-54-8889,717,10,0
126-43-7874,616,15,1
722-31-5422,783,4,1
891-82-6781,850,3,0
564-62-1910,706,8,0
784-39-9231,329,2,0
,841,10,1
265-97-9056,695,7,2
379-49-3563,850,10,3
116-01-3299,464,5,1
169-26-9400,785,9,3
084-64-3000,742,1,0
769-01-2767,600,4,1
274-25-6680,727,12,4
352-97-6776,628,0,0
,850,6,2
842-24-3709,839,5,0
810-62-6880,630,8,0
538-37-4331,558,9,0
008-72-6608,850,5,1
066-20-7258,815,12,4
188-53-2625,732,7,0
377-93-1052,850,7,1
419-38-6532,786,4,0
768-88-3805,850,4,1
799-87-2004,490,13,4
707-64-3089,605,11,0
726-93-9294,697,8,0
876-05-8852,587,3,1
449-99-3484,660,7,1
787-20-6802,760,3,0
675-49-8255,593,10,3
,545,9,2
089-03-1765,850,10,1
669-56-1998,533,12,2
627-85-4342,484,8,0
065-44-7109,767,1,0
876-38-1326,620,9,3
247-68-0646,850,5,1
805-52-7791,850,9,0
622-63-6454,718,7,0
271-12-2992,753,9,3
893-75-1597,653,4,1
523-39-3872,675,5,0
185-28-6143,665,4,1
,836,2,0
633-66-5182,575,10,0
579-96-4969,580,1,0
,614,5,0
594-91-1603,850,11,0
446-67-1596,444,8,2
591-61-0402,494,11,1
621-34-0569,720,9,2
227-55-5347,850,10,0
473-03-1867,764,0,0
,583,8,1
680-13-5532,850,0,0
472-51-7579,834,4,0
751-23-1879,587,3,1
461-97-5161,714,15,4
582-24-0616,567,0,0
348-15-3325,533,2,0
374-02-6141,708,7,0
751-48-4001,829,10,2
643-28-2957,646,14,3
048-72-4923,300,13,4
353-94-7485,544,3,0
782-65-4363,850,10,3
474-75-8353,735,6,1
662-56-8857,595,5,0
706-42-9571,850,12,0
074-49-6155,710,9,2
175-32-7879,681,7,0
096-86-5200,587,12,4
081-94-9693,405,12,0
124-17-4465,678,4,0
444-60-3574,620,12,0
646-16-5382,706,15,3
867-27-2249,678,8,1
092-02-1617,668,15,4
887-42-9695,555,8,2
169-90-0546,810,11,2
139-91-9415,655,15,5
629-68-8312,842,12,1
106-27-9242,584,0,0
613-14-0605,633,13,3
310-80-8693,751,13,3
,585,3,1
383-78-3598,741,0,0
381-51-6712,522,4,1
242-78-9692,724,14,2
832-73-8884,563,8,1
305-22-2987,684,11,3
874-93-4237,698,8,0
032-03-8296,850,0,0
646-63-6851,580,15,0
664-56-0402,727,5,0
230-17-9490,850,6,2
537-75-9992,598,4,0
304-72-6684,677,13,1
002-49-5418,818,8,2
745-05-5864,374,15,5
083-74-0416,850,12,4
771-68-0473,850,13,1
656-47-0437,601,11,2
466-09-6496,847,15,4
374-73-2992,712,2,0
800-79-3417,850,7,0
669-59-3148,568,7,0
882-32-4977,751,10,2
066-67-5458,846,7,0
661-55-0338,767,3,1
,798,4,1
022-78-8551,481,15,5
738-44-8779,565,4,1
444-92-5168,455,15,4
571-57-8580,850,0,0
749-21-1800,631,15,2
,661,15,4
460-28-5255,850,15,2
713-01-0585,442,8,0
737-28-8574,500,13,0
337-91-1589,850,0,0
885-20-1809,716,0,0
800-82-2181,640,6,1
168-10-1064,734,13,0
046-98-4307,633,6,0
126-60-4645,824,1,0
882-69-5172,713,7,2
,568,1,0
236-80-2204,594,11,3
211-72-6781,784,2,0
765-59-1942,771,6,2
158-73-5471,539,15,4
318-60-5781,780,8,1
484-61-5858,716,0,0
798-03-5752,668,0,0
710-56-8120,554,13,2
028-01-8004,837,4,1
637-13-4592,766,7,2
488-17-9086,824,2,0
405-10-7767,722,8,1
067-64-8083,695,15,0
679-13-9264,839,11,0
838-15-0452,850,13,0
621-68-7120,826,1,0
807-73-1200,773,0,0
705-65-5309,850,10,1
867-16-9776,776,12,1
060-75-4861,396,9,2
397-51-9567,805,8,0
863-77-2532,840,4,0
347-39-5119,631,9,3
812-16-7319,398,3,0
271-93-9017,449,6,0
566-78-8208,623,1,0
646-46-1923,345,3,1
239-93-3096,595,1,0
322-47-1764,472,15,4
470-21-6017,520,15,3
117-48-7629,807,9,1
,850,14,3
,850,4,1
096-89-4401,850,7,1
100-20-0968,764,9,1
698-05-3924,518,15,5
693-84-3014,610,12,2
589-82-2876,807,12,0
749-65-4908,835,12,2
759-14-9521,644,8,2
412-15-4432,712,4,1
197-58-1233,570,12,2
888-29-2857,516,11,3
377-17-1644,850,13,1
299-89-4484,648,12,0
843-73-7174,647,1,0
015-63-1993,611,9,1
306-05-4354,574,14,0
120-30-4902,523,15,2
146-64-5595,841,12,2
624-07-8247,850,15,0
549-30-8926,850,4,0
674-78-7458,746,1,0
795-90-4969,488,4,1
694-02-4838,501,0,0
645-01-9529,792,7,1
138-69-4463,559,1,0
290-70-1155,697,2,0
876-43-8790,793,10,1
893-97-8288,741,9,1
239-90-6301,723,1,0
657-02-9567,747,11,1
059-97-0523,729,14,3
426-58-8579,612,12,2
103-24-4177,835,14,1
092-16-1495,694,7,2
101-28-2020,497,12,1
086-71-3756,462,12,2
163-02-2878,637,15,3
252-21-8044,507,12,0
265-87-7602,615,4,0
517-23-6400,639,5,0
025-60-7634,840,0,0
504-43-7921,670,4,1
746-75-9711,724,1,0
847-06-1660,493,13,0
068-85-7280,850,6,0
738-04-7273,661,7,2
252-76-4333,658,15,1
632-88-8508,621,11,3
893-97-7238,777,10,1
836-60-3890,750,0,0
,843,8,2
284-46-8142,800,15,3
440-90-1093,841,3,0
668-18-9715,541,10,3
737-01-8097,582,8,0
117-76-3016,695,5,1
876-24-5641,497,6,0
741-88-5471,750,8,2
558-14-9556,550,11,2
168-45-1302,753,1,0
320-38-9961,850,9,1
564-75-0299,751,7,0
218-05-5822,656,13,0
096-27-0474,635,14,3
887-56-7569,850,14,4
,525,15,4
216-10-0082,848,14,2
017-34-1552,439,0,0
709-92-7945,633,10,0
410-89-3027,475,1,0
814-04-8312,618,10,2
361-94-6101,514,7,2
430-09-1845,586,1,0
486-18-8946,690,0,0
716-40-4508,828,14,4
668-07-8998,422,1,0
,850,0,0
436-86-3983,753,12,4
078-64-7495,850,0,0
884-80-8604,753,4,0
337-86-9355,617,15,2
849-10-5016,611,8,0
685-24-5966,538,0,0
178-20-7669,759,13,4
542-14-6997,580,13,1
176-54-1720,850,4,0
266-50-9976,584,11,1
467-07-0611,649,4,1
615-15-0711,615,6,2
550-59-3881,850,5,0
536-74-0848,606,6,1
095-44-9234,683,5,1
094-72-4141,457,13,2
216-71-8509,703,11,1
447-29-5434,850,5,1
388-93-2564,539,5,1
,606,1,0
250-05-0296,464,10,1
879-38-8039,649,7,0
,648,13,4
084-06-4362,653,14,4
788-37-3964,496,3,1
434-06-7758,651,1,0
491-04-1633,821,13,2
392-42-3724,821,3,1
013-03-6040,335,14,4
767-49-9329,850,10,2
294-60-7522,792,6,1
683-20-9453,748,1,0
020-31-3130,608,8,1
090-54-1142,368,13,3
125-04-6628,850,12,4
836-20-1253,549,15,3
234-92-6361,691,6,2
433-24-4414,521,4,0
127-74-4816,665,15,5
